"","feature","ICC_noGA_early","ICC_noGA_32weeks","ICC_noGA_35weeks","ICC_withGA_early","ICC_withGA_32weeks","ICC_withGA_35weeks"
"1","amplitude_kurtosis__1_",0.708690705269204,0.383800682763928,0.373760270055618,0.621122366474742,0.438205912227848,0.423743742860827
"2","amplitude_kurtosis__2_",0.755587929277747,0.450476033447623,0.672119332210513,0.615573132913816,0.480208382442081,0.71178713163504
"3","amplitude_kurtosis__3_",0.730249675809013,0.325441913297936,0.436115949328212,0.600108807785483,0.31389366418991,0.485240351190657
"4","amplitude_kurtosis__4_",0.709762344991685,0.0392243224358847,9.51538849437477e-16,0.613821216233812,0.104669039190429,2.89518687666707e-14
"5","amplitude_skew__1_",0.65531444608894,0,0.488781491351446,0.429698511406724,0,0.540075064463904
"6","amplitude_skew__2_",0.63608529635251,3.87092415392915e-15,0.5446471858065,0.304670019997275,0.0226038397045761,0.590106626039001
"7","amplitude_skew__3_",0.78003097052914,0.511167826531868,0.673701877514793,0.652525707491506,0.558790657214677,0.713578348438993
"8","amplitude_skew__4_",0.799664765469337,6.10572761294011e-17,0,0.690427096122141,0,0
"9","connectivity_coh_mean__1_",0.104875268199808,0,0.765856741043017,0.13813742029665,1.26825266196456e-15,0.788078165647736
"10","connectivity_coh_mean__2_",0.547901371935018,0.385688046344701,0.83573371550369,0.502644764246017,0.39429349634059,0.840844475055234
"11","connectivity_coh_mean__3_",0.623465730766829,0.289151643248619,0.154796070945242,0.532013750879862,0.239634672444405,0.225732554729249
"12","connectivity_coh_mean__4_",0.451181636129724,0.416638168411903,0,0.473787911526725,0.459131694855731,0
"13","IBI_burst_prc",0.563170692919772,0.0364863569633329,0.26329564463751,0.571720571129919,0.102380941967827,0.321222421532926
"14","IBI_length_median",0.585450654972793,0.508155189048287,0.673292116748307,0.587766621254258,0.548115621102871,0.703909789795297
"15","spectral_power__1_",0.619349923220927,0.158712861832098,0.39200245073652,0.42977747569037,0.139552458906276,0.452676844214344
"16","spectral_power__2_",0.665134612708586,0.55813669691642,0.578532150273514,0.507254408355695,0.600517602305537,0.610035857863156
"17","spectral_power__3_",0.399047997291162,0.710752822307991,0.733309802303211,0.394831481749183,0.742071444140476,0.750336363179796
"18","spectral_power__4_",0.0474645563691218,0.648986739628071,0.4826038877054,0.0562310788311648,0.67840299516143,0.486733112418861
"19","spectral_relative_power__1_",0.307912461412086,0.244317472636131,0,0.279058116046882,0.279119543844107,5.41258653607702e-20
"20","spectral_relative_power__2_",0.255561080757863,0.0597119550721058,0,0.292906930332101,0.120720890264263,0
"21","spectral_relative_power__3_",0.617147653366059,0.726722964834157,0.0886864754550443,0.428344590255272,0.749405865496228,0.164471845494037
"22","spectral_relative_power__4_",0.737379583001522,0.767328623400398,0.365638411280554,0.481448443537844,0.756620151299882,0.406724042792181
