"feature","ICC_noGA_early","ICC_noGA_32weeks","ICC_noGA_35weeks","ICC_withGA_early","ICC_withGA_32weeks","ICC_withGA_35weeks"
"amplitude_kurtosis__1_",0.109168931697259,0.523265156144676,0.578830140377884,0.116922893191934,0.54612625223526,0.56534739286255
"amplitude_kurtosis__2_",0.10915397471965,0.535977431138763,0.563186652230316,0.105606149625984,0.523013319621624,0.579455188036574
"amplitude_kurtosis__3_",0.0993314987513998,0.521528661238765,0.558161385995311,0.11170503189064,0.565142066978709,0.570889624443965
"amplitude_kurtosis__4_",0.103277302370073,0.536889100551832,0.545096817523385,0.108486818399431,0.528824126216878,0.558090197136863
"amplitude_skew__1_",0.110237002505763,0.518739764769592,0.538262195397262,0.107287059839367,0.54360970125036,0.566764041401293
"amplitude_skew__2_",0.108271136894667,0.506408360208707,0.566530585520708,0.106126125111509,0.512446470363221,0.587153589040114
"amplitude_skew__3_",0.119042629408245,0.525712370231556,0.581356214726716,0.119393973549752,0.543103257399591,0.571393575822494
"amplitude_skew__4_",0.110683927064685,0.536342488310752,0.565492815741664,0.110595038419804,0.532236219975213,0.535904350894628
"connectivity_coh_mean__1_",0.116113057216522,0.51690436586431,0.560861575295147,0.10650844869063,0.496639379022411,0.566803794155194
"connectivity_coh_mean__2_",0.107759129278674,0.54566862359947,0.571162617202306,0.115145066933576,0.538851175501148,0.548937147253079
"connectivity_coh_mean__3_",0.113290632823441,0.510308596845913,0.542922891168561,0.10020665947908,0.525414163464438,0.578870710606988
"connectivity_coh_mean__4_",0.105840407560986,0.518586430843855,0.578543364043075,0.123304759276902,0.492500493776343,0.579515786369765
"IBI_burst_prc",0.108906473061988,0.559492947376362,0.526741493487791,0.114137643327977,0.529769094330573,0.562183361291741
"IBI_length_median",0.115485700995449,0.549642236884291,0.563661747846135,0.110271527563191,0.545726837765123,0.552050868685515
"spectral_power__1_",0.100256733281704,0.520199549702854,0.535859224336545,0.110724205399943,0.525012682940598,0.56306836500695
"spectral_power__2_",0.107359582503544,0.548592077095976,0.556406546590001,0.112278852672872,0.547369080664323,0.571286105208457
"spectral_power__3_",0.106379335901898,0.501751079499234,0.54907217923625,0.11180469938396,0.531715540438674,0.587217912155152
"spectral_power__4_",0.103405612543818,0.523053219829032,0.548649838023555,0.126620743084852,0.533689717154183,0.556646284806035
"spectral_relative_power__1_",0.10819737256291,0.517590277004227,0.541018941276518,0.115033243671619,0.522029910615745,0.54861628624648
"spectral_relative_power__2_",0.105595249482956,0.525601797482958,0.537578845326391,0.11517543207116,0.518479423518731,0.572851134263616
"spectral_relative_power__3_",0.0987945569324511,0.526215663928072,0.555392404541066,0.104724080732721,0.528654914634162,0.550712982094564
"spectral_relative_power__4_",0.114065672769656,0.51178629750891,0.565482011803396,0.124795437509749,0.491021384272924,0.606567713537716
