"feature","ICC_noGA_early","ICC_noGA_early_SIG","ICC_noGA_32weeks","ICC_noGA_32weeks_SIG","ICC_noGA_35weeks","ICC_noGA_35weeks_SIG","ICC_withGA_early","ICC_withGA_early_SIG","ICC_withGA_32weeks","ICC_withGA_32weeks_SIG","ICC_withGA_35weeks","ICC_withGA_35weeks_SIG"
"amplitude_kurtosis__1_",0.475833927222774,TRUE,0.133336238962324,FALSE,0.0913042629327121,FALSE,0.00338511351353392,FALSE,0.253324319668669,TRUE,0.280578362300892,FALSE
"amplitude_kurtosis__2_",0.625874137059257,TRUE,6.2180161696547e-17,FALSE,0.309476475370933,FALSE,0.234499477291733,TRUE,5.03286180248625e-15,FALSE,0.343802191054932,FALSE
"amplitude_kurtosis__3_",0.530130795149197,TRUE,7.60427141036622e-17,TRUE,4.15053079965554e-17,FALSE,0.110665322615511,FALSE,1.44349724945409e-14,FALSE,0.0592458995294932,FALSE
"amplitude_kurtosis__4_",0.553247481938823,TRUE,1.39660455024669e-16,TRUE,2.79889255966662e-15,FALSE,0,FALSE,6.80668238578826e-14,FALSE,0.0676052885098522,FALSE
"amplitude_skew__1_",0.545001339187178,TRUE,0.336060350244783,TRUE,0.156763953950509,FALSE,0.000620444945842709,TRUE,0.406210711485647,TRUE,0.0424298127475667,FALSE
"amplitude_skew__2_",0.590727331758885,TRUE,0,FALSE,0.207854973660591,FALSE,0,FALSE,9.48719874456625e-15,FALSE,0.233385986387831,FALSE
"amplitude_skew__3_",0.707384380978697,TRUE,0.304008720316656,TRUE,0.20898727880149,FALSE,0.244433199458813,TRUE,0.426678516369228,TRUE,0.33729879857135,FALSE
"amplitude_skew__4_",0.729932839224834,TRUE,0,FALSE,0,FALSE,0.220492790636119,FALSE,9.49108861408646e-15,FALSE,8.36464254194113e-15,FALSE
"connectivity_coh_mean__1_",0,FALSE,0,FALSE,0.761862352130263,TRUE,0,FALSE,5.00800681739069e-15,FALSE,6.1654200378182e-15,FALSE
"connectivity_coh_mean__2_",0.385715982731348,TRUE,0.387231646919937,TRUE,0.604733109192703,TRUE,0.0803192496594425,FALSE,0.486070778373315,FALSE,0,FALSE
"connectivity_coh_mean__3_",0.493862156763633,TRUE,0.20883966491635,FALSE,0,FALSE,0.0560054914018773,FALSE,0.308724696857248,FALSE,3.48531107433387e-15,FALSE
"connectivity_coh_mean__4_",0.234199817293991,FALSE,0.533166028816247,TRUE,0,FALSE,0.220052816501252,TRUE,0.587628033013198,TRUE,5.83409702873066e-15,FALSE
"IBI_burst_prc",0.181756140586138,TRUE,3.00463740112547e-12,FALSE,0.381498287577976,TRUE,0.0319433944850922,FALSE,0.136954051614774,FALSE,0.419723173610368,FALSE
"IBI_length_median",0.295448071467006,FALSE,0.230544942318909,FALSE,0.777702268828365,TRUE,0.320978155432787,TRUE,0.0581188040912802,FALSE,0.56547331684124,FALSE
"spectral_power__1_",0.600541003010726,TRUE,0.154339433088165,TRUE,0.376795089718388,FALSE,0.404727369979123,TRUE,0.0561697104557699,FALSE,0.0150767471319739,FALSE
"spectral_power__2_",0.495233683419767,TRUE,0.425835616857127,FALSE,0.42625624573852,FALSE,0.248737477352639,FALSE,0.441713917301605,TRUE,1.86440754461493e-12,FALSE
"spectral_power__3_",0.162826772915488,TRUE,0.806349291976749,TRUE,0.604036978057446,FALSE,0.215378683767133,TRUE,0.785233965774925,TRUE,0.154388299745875,FALSE
"spectral_power__4_",0,FALSE,0.721064834985593,TRUE,0.132773113907033,FALSE,0,FALSE,0.633431793975144,TRUE,0,FALSE
"spectral_relative_power__1_",0.269132756174727,TRUE,0.382960698927139,FALSE,0,FALSE,0,FALSE,7.47873097381079e-15,FALSE,0,FALSE
"spectral_relative_power__2_",1.09351129299795e-16,FALSE,0.293319258999696,FALSE,0,FALSE,1.27577491157338e-14,FALSE,6.32110774740397e-15,FALSE,5.78318584288124e-15,FALSE
"spectral_relative_power__3_",0.693718583533731,TRUE,0.808578666077203,TRUE,0,FALSE,0.273959438407865,TRUE,0.606600151211358,TRUE,1.40460443668469e-14,FALSE
"spectral_relative_power__4_",0.748374104843354,TRUE,0.834151194394925,TRUE,0.33371396152733,FALSE,0.286358388101638,TRUE,0.733429746808954,TRUE,0.262029642061795,FALSE
