"feature","ICC_noGA_early","ICC_noGA_32weeks","ICC_noGA_35weeks","ICC_withGA_early","ICC_withGA_32weeks","ICC_withGA_35weeks"
"amplitude_kurtosis__1_",0.159120515502952,0.693673022550686,0.757839769468174,0.173530669584206,0.73118219261231,0.715838566399707
"amplitude_kurtosis__2_",0.157850889525921,0.710980106205028,0.730718434073147,0.180524850192342,0.674824309866998,0.765813607799538
"amplitude_kurtosis__3_",0.151712679186295,0.644619149772858,0.736792790024061,0.170568081005669,0.682871449108961,0.762293577350235
"amplitude_kurtosis__4_",0.152317938686459,0.660427157520474,0.720368903829168,0.186339643943369,0.698422287076267,0.764217795355247
"amplitude_skew__1_",0.172997643978415,0.677002230539169,0.703736113064634,0.156835113840962,0.680324728814384,0.759516089730317
"amplitude_skew__2_",0.156461812027891,0.66625177714419,0.729162043379879,0.162153169973333,0.732739390275655,0.728432682076392
"amplitude_skew__3_",0.145855542260292,0.656097794370707,0.727822984044073,0.171239907269803,0.694834762067165,0.786015602811619
"amplitude_skew__4_",0.153496361063245,0.679753239986821,0.739059049273348,0.176470739823945,0.66117432721308,0.732689833325009
"connectivity_coh_mean__1_",0.14915847374674,0.707486072132437,0.713583185504999,0.164271867221477,0.693195404005626,0.748040492151758
"connectivity_coh_mean__2_",0.143264612966513,0.631301763616712,0.728467111873297,0.175729029033433,0.675327460760634,0.764788190069235
"connectivity_coh_mean__3_",0.142246391488104,0.716201116386143,0.759262861111958,0.17499003656431,0.676506272243333,0.748088642400115
"connectivity_coh_mean__4_",0.148943617748604,0.676101798782039,0.728489778359095,0.183093999182705,0.657289703965456,0.699441725218521
"IBI_burst_prc",0.140781697339664,0.690823776410886,0.745600575612369,0.166530553055415,0.661008152249232,0.752572354111621
"IBI_length_median",0.16661908236654,0.651604843836313,0.75820335061694,0.174676746180188,0.683490745560228,0.730640419336483
"spectral_power__1_",0.164100364865146,0.723465562394181,0.764275003133629,0.165601068774004,0.678025157108814,0.758368163680305
"spectral_power__2_",0.150990494856212,0.661331217048597,0.758966236988977,0.17301900453219,0.691450157429525,0.742687450897508
"spectral_power__3_",0.164021487875171,0.655649782990044,0.694186504506889,0.185567671808476,0.699887203404602,0.699237239341419
"spectral_power__4_",0.146010920135063,0.683842195567606,0.690548806030034,0.16752274651255,0.702479864862946,0.748996878599759
"spectral_relative_power__1_",0.159737830689658,0.675272872226031,0.726543350605386,0.170785687872633,0.656568949155912,0.772895867702358
"spectral_relative_power__2_",0.134547372322077,0.667802300454313,0.778027544217226,0.164631508545165,0.708334305724695,0.763910934694657
"spectral_relative_power__3_",0.141310049759272,0.661835700764413,0.720193804535868,0.149970499389416,0.651024708876258,0.743140780037592
"spectral_relative_power__4_",0.134032439810143,0.650549603602311,0.746854139678786,0.168546877092099,0.689072157235589,0.728203116690605
