"","feature","ICC_noGA_early","ICC_noGA_32weeks","ICC_noGA_35weeks","ICC_withGA_early","ICC_withGA_32weeks","ICC_withGA_35weeks"
"1","amplitude_kurtosis__1_",0.475833927222774,0.133336238962324,0.0913042629327121,0.00338511351353392,0.253324319668669,0.280578362300892
"2","amplitude_kurtosis__2_",0.625874137059257,6.2180161696547e-17,0.309476475370933,0.234499477291733,5.03286180248625e-15,0.343802191054932
"3","amplitude_kurtosis__3_",0.530130795149197,7.60427141036622e-17,4.15053079965554e-17,0.110665322615511,1.44349724945409e-14,0.0592458995294932
"4","amplitude_kurtosis__4_",0.553247481938823,1.39660455024669e-16,2.79889255966662e-15,0,6.80668238578826e-14,0.0676052885098522
"5","amplitude_skew__1_",0.545001339187178,0.336060350244783,0.156763953950509,0.000620444945842709,0.406210711485647,0.0424298127475667
"6","amplitude_skew__2_",0.590727331758885,0,0.207854973660591,0,9.48719874456625e-15,0.233385986387831
"7","amplitude_skew__3_",0.707384380978697,0.304008720316656,0.20898727880149,0.244433199458813,0.426678516369228,0.33729879857135
"8","amplitude_skew__4_",0.729932839224834,0,0,0.220492790636119,9.49108861408646e-15,8.36464254194113e-15
"9","connectivity_coh_mean__1_",0,0,0.761862352130263,0,5.00800681739069e-15,6.1654200378182e-15
"10","connectivity_coh_mean__2_",0.385715982731348,0.387231646919937,0.604733109192703,0.0803192496594425,0.486070778373315,0
"11","connectivity_coh_mean__3_",0.493862156763633,0.20883966491635,0,0.0560054914018773,0.308724696857248,3.48531107433387e-15
"12","connectivity_coh_mean__4_",0.234199817293991,0.533166028816247,0,0.220052816501252,0.587628033013198,5.83409702873066e-15
"13","IBI_burst_prc",0.181756140586138,3.00463740112547e-12,0.381498287577976,0.0319433944850922,0.136954051614774,0.419723173610368
"14","IBI_length_median",0.295448071467006,0.230544942318909,0.777702268828365,0.320978155432787,0.0581188040912802,0.56547331684124
"15","spectral_power__1_",0.600541003010726,0.154339433088165,0.376795089718388,0.404727369979123,0.0561697104557699,0.0150767471319739
"16","spectral_power__2_",0.495233683419767,0.425835616857127,0.42625624573852,0.248737477352639,0.441713917301605,1.86440754461493e-12
"17","spectral_power__3_",0.162826772915488,0.806349291976749,0.604036978057446,0.215378683767133,0.785233965774925,0.154388299745875
"18","spectral_power__4_",0,0.721064834985593,0.132773113907033,0,0.633431793975144,0
"19","spectral_relative_power__1_",0.269132756174727,0.382960698927139,0,0,7.47873097381079e-15,0
"20","spectral_relative_power__2_",1.09351129299795e-16,0.293319258999696,0,1.27577491157338e-14,6.32110774740397e-15,5.78318584288124e-15
"21","spectral_relative_power__3_",0.693718583533731,0.808578666077203,0,0.273959438407865,0.606600151211358,1.40460443668469e-14
"22","spectral_relative_power__4_",0.748374104843354,0.834151194394925,0.33371396152733,0.286358388101638,0.733429746808954,0.262029642061795
