"feature","ICC_noGA_early","ICC_noGA_32weeks","ICC_noGA_35weeks","ICC_withGA_early","ICC_withGA_32weeks","ICC_withGA_35weeks"
"amplitude_kurtosis__1_",2.52920623944628e-15,0.482904707951435,0.185382428804334,0.0888011255253663,0.395357938595092,0.521177043024756
"amplitude_kurtosis__2_",0.0979191542898626,0.438485825148028,0.785159900009726,0.0768901810063594,0.42225268877157,0.451232202406622
"amplitude_kurtosis__3_",0.149292518709655,0.546511298591742,0.671706087978216,0.0728561678622091,0.444764152728613,0.261758703387734
"amplitude_kurtosis__4_",0.0755741271076368,0.520625780075693,0.667731956158416,8.22812327765769e-16,0.356407805289208,0.522904217012885
"amplitude_skew__1_",0.102002709730836,0.391895448622338,0.568617455124053,0.131915664170421,0.472007903594552,0.538188004689194
"amplitude_skew__2_",0.0804881989145458,0.32668122075272,0.382891170174025,0.0825667206962825,0.364355134952529,0.477913772004221
"amplitude_skew__3_",0.0458397017162725,0.533336244565994,0.330840832228608,0.118851444551026,0.449925997468753,0.462944097847742
"amplitude_skew__4_",0.054544315401906,0.488884938611972,0.446953863300143,0.0802919235014222,0.143189220742914,0.681900349832535
"connectivity_coh_mean__1_",0.121384924317798,0.427423816308785,0.371916231434945,0.0981005699149333,0.461993656621762,0.401204965430444
"connectivity_coh_mean__2_",0.118049109282533,0.332956308869172,0.430592250161914,0.084343679119958,0.537554710108748,0.386577087403385
"connectivity_coh_mean__3_",0.0677166467891636,0.493762268676162,0.295623917405184,0.114283154983074,0.171611715183544,0.33845018231184
"connectivity_coh_mean__4_",0.0821337280234832,0.303845342732526,0.31812900799725,0.114105163968332,0.375782572219475,0.541339485398512
"IBI_burst_prc",0.00771623684113652,0.505410043512026,0.378305310366932,0.126537458035178,0.451509840243987,0.313550139486055
"IBI_length_median",0.011092243725648,0.437594856136324,0.375237915245838,0.0284414746443391,0.418835963689505,0.53636968754043
"spectral_power__1_",0.0315172236271124,0.331466166771647,0.68183483112318,0.0545298488008835,0.192576495760349,0.413602234234615
"spectral_power__2_",0.105698142723242,0.499640457568377,0.243832650789531,0.0702160298280916,0.38180750392049,0.454907755263758
"spectral_power__3_",0.0912897757493352,0.573645830267588,0.517147791159321,0.12861833426276,0.139473684144976,0.62797704518004
"spectral_power__4_",0.0184359484155642,0.569707710036063,0.411381789546985,0.062931646345921,0.597956961916437,0.39802908748396
"spectral_relative_power__1_",0.0283276492076783,0.510998558260879,0.513900231107432,0.0944469222856365,0.388898355805173,0.585933819410262
"spectral_relative_power__2_",0.0163742993241811,0.409128128844066,0.29393370078257,0.135067504369605,0.39797015954415,0.239774392137704
"spectral_relative_power__3_",0.200407688342396,0.366424380129461,0.638379907737872,0.0817195096828271,0.184735502228016,0.451646725254931
"spectral_relative_power__4_",0.0803500036308132,0.594504506997836,0.683956748748298,0.0643148912974041,0.290149405027343,0.567640950093549
