"feature","ICC_noGA_early","ICC_noGA_32weeks","ICC_noGA_35weeks","ICC_withGA_early","ICC_withGA_32weeks","ICC_withGA_35weeks"
"amplitude_kurtosis__1_",0.13354944916142,0.57716108431954,0.858536650941194,0.142905169379307,0.550945793390726,0.864661393210078
"amplitude_kurtosis__2_",0.129158329701856,0.575846717573446,0.850835773490837,0.14259177207001,0.557912346258463,0.850980981695185
"amplitude_kurtosis__3_",0.145506778441161,0.570264023440161,0.873130382143612,0.135602593404476,0.579016061848673,0.88586255993982
"amplitude_kurtosis__4_",0.112893122971136,0.53671465543487,0.860939702161044,0.116708916897035,0.583134109519085,0.863956447838123
"amplitude_skew__1_",0.134396878164362,0.533428804263833,0.827411383269339,0.123283263169178,0.56538904515578,0.886857479820554
"amplitude_skew__2_",0.126930489226545,0.533279092608318,0.807612982712493,0.144037336273051,0.560946964050466,0.870636418079093
"amplitude_skew__3_",0.133532383737042,0.562870013635259,0.851048972650657,0.1370330133909,0.568916011622386,0.878761607194738
"amplitude_skew__4_",0.141445530193363,0.560862079779497,0.836007307555749,0.143133771314184,0.56809766052997,0.866892913605884
"connectivity_coh_mean__1_",0.1233020304975,0.554957187979231,0.870809255864698,0.143662409072224,0.539161913827067,0.828766216740085
"connectivity_coh_mean__2_",0.127927737188475,0.539758731735552,0.854884554012461,0.135594059541902,0.581041929624691,0.850176748747175
"connectivity_coh_mean__3_",0.13622884709077,0.525457817719945,0.872641226430194,0.136500653903588,0.58218653049745,0.877562716698452
"connectivity_coh_mean__4_",0.122940201738542,0.548556039063521,0.854195598154337,0.144893892989778,0.562092137856075,0.840781205779386
"IBI_burst_prc",0.113216314591207,0.544150110843306,0.883774003178656,0.135579019939166,0.570467114015982,0.874206748151245
"IBI_length_median",0.128410981578689,0.570840484754809,0.832212796572021,0.142772049634034,0.570108123696247,0.870681056659248
"spectral_power__1_",0.118952323012342,0.572214225305056,0.825205151312913,0.135409110415566,0.56068403794729,0.855289554023151
"spectral_power__2_",0.130025587274257,0.527792172768074,0.870766632571617,0.143163945000007,0.578736132404973,0.876310199190357
"spectral_power__3_",0.117019729195666,0.531113150628766,0.831381583845346,0.129341063672542,0.589997119341076,0.853767873648541
"spectral_power__4_",0.134208492074192,0.551711626305846,0.878926899121333,0.14074398071514,0.565051930931595,0.872525345185599
"spectral_relative_power__1_",0.136074053629379,0.547236423643718,0.856961574128988,0.125563307035496,0.585563351928693,0.886611991624201
"spectral_relative_power__2_",0.129252536480739,0.533320040288782,0.863761095838614,0.126718171584001,0.554554442780561,0.881713394617053
"spectral_relative_power__3_",0.122059536953899,0.531658086461661,0.838112297308782,0.136121705540914,0.532945376918294,0.829468664226013
"spectral_relative_power__4_",0.127195756948003,0.569186931222421,0.865306334492655,0.134726181840161,0.566184447044044,0.878132681889641
